name,MSE,MAE,RMSE,MAPE,R2
nocb,0.0003080098636816701,0.012993819263485777,0.01755020979024667,0.022837120996705172,0.9567934467452606
locf,0.0003603465275192102,0.01450669378783729,0.018982795566491524,0.025446943073143085,0.9493945788349278
stine,0.0002869704006624219,0.012568391537845851,0.0169402007267453,0.02182603552043217,0.9596603689490721
spline,0.00012347140331363837,0.008215039168863186,0.011111768685211116,0.012017451136852292,0.9531629693386908
linear,0.00027535446998263637,0.01222493116128298,0.016593808182049002,0.02139862171225028,0.9612892525119935
simple25,0.00032070479195251534,0.013416728804617207,0.01790823251894266,0.02324328657570327,0.9546139914507422
linear25,0.00028890814025022457,0.012571800040668909,0.016997298027928574,0.021904247848005275,0.9591517856668673
exponential25,0.000287911766473664,0.012564717017675727,0.016967962944138697,0.02192823638043882,0.9594278256207042
struct,0.00039725416487197836,0.015529986799822851,0.019931235909295197,0.02660380045998677,0.944033277302253
auto,0.0002833249419446958,0.012511001802607087,0.016832258967372615,0.021734197851813564,0.9589361930883387
